Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Female,23,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Housework,Eating,University Class,University Class,University Class,Phone Calls,Socializing,Family Time,Cooking,Cooking,Housework,Housework,Personal Care,Personal Care,University Class,University Class,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Study,Study,Study,Cooking,Cooking,Personal Care,Study,Eating,Study,Study,Study,Study,Study,Reading or Writing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,100000,Sleeping,Sleeping,Personal Care,Personal Care,Eating,Traveling,University Class,University Class,University Class,University Class,University Class,Socializing,Socializing,Socializing,Eating,Eating,Work,Work,Work,Work,Work,Socializing,Socializing,Travelling,Entertainment,Entertainment,Study,Study,Study,Study,Study,Eating,Eating,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,25,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Personal Care,Reading or Writing,Socializing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Video Games,Entertainment,Entertainment,Family Time,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities
Male,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Traveling,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Exercise,Exercise,Exercise,Exercise,University Class,University Class,University Class,Travelling,Travelling,Travelling,Caring for Pets,Personal Care,Work,Work,Entertainment,Personal Care,Eating,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,90000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,University Class,University Class,University Class,University Class,University Class,Study,University Class,Study,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Housework,Family Time,Sleeping,Sleeping,Religion or Spiritual Activities,Entertainment,Family Time,Family Time,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Housework,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,35000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Personal Care,Religion or Spiritual Activities,Housework,Family Time,Sleeping,Work,Religion or Spiritual Activities,Work,Work,Religion or Spiritual Activities,Study,Study,Study,Housework,Housework,Video Games,Eating,Personal Care,Personal Care,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Traveling,Study,Study,Study,Study,Study,Study,Eating,Study,Study,Study,Study,Travelling,Phone Calls,Phone Calls,Phone Calls,Personal Care,Religion or Spiritual Activities,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Phone Calls,Phone Calls,Study,Phone Calls,Study,Study,Personal Care,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,15000,Sleeping,Religion or Spiritual Activities,Personal Care,Work,Work,Work,Work,Work,Eating,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Socializing,Socializing,Socializing,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Travelling,Travelling,Family Time,Family Time,Family Time,Family Time,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,21,Student,Single,500000,Sleeping,Sleeping,Sleeping,Personal Care,Cooking,Eating,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Work,Work,Work,Work,Work,Work,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Family Time,Eating,Entertainment,Study,Study,Study,Study,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Married,30000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
