Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Female,23,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Personal Care,Housework,Housework,Cooking,Cooking,Cooking,Family Time,Phone Calls,Eating,Sleeping,Sleeping,Sleeping,Traveling,Socializing,Traveling,Personal Care,Personal Care,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Eating,Eating,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Entertainment,Study,Study,Study,Study,Eating,Eating,Caring for Pets,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Study,Study,Study,Eating,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,25,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Reading or Writing,Socializing,Eating,Personal Care,Video Games,Video Games,Video Games,Video Games,Video Games,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Reading or Writing,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Exercise,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities
Male,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Work,Work,Eating,Study,Study,Study,Personal Care,Study,Exercise,Study,Study,Socializing,Socializing,Socializing,Study,Study,Study,Socializing,Socializing,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,90000,Religion or Spiritual Activities,Religion or Spiritual Activities,Sleeping,Sleeping,Exercise,Sleeping,Sleeping,University Class,University Class,Entertainment,University Class,University Class,University Class,University Class,University Class,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,University Class,University Class,University Class,Religion or Spiritual Activities,Traveling,Traveling,Religion or Spiritual Activities,Housework,Religion or Spiritual Activities,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,35000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Entertainment,Family Time,Caring for Pets,Personal Care,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Religion or Spiritual Activities,Socializing,Socializing,Socializing,Shopping,Shopping,Housework,Study,Study,Study,Entertainment,Eating,Caring for Pets,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Religion or Spiritual Activities,Eating,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,15000,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Phone Calls,Phone Calls,Socializing,Entertainment,Family Time,Family Time,Sleeping,Sleeping,Sleeping,Eating,Housework,Personal Care,Reading or Writing,Reading or Writing,Entertainment,Entertainment,Study,Study,Phone Calls,Phone Calls,Work,Work,Eating,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,21,Student,Single,500000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Study,Study,Study,Study,Study,Eating,Housework,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Entertainment,Family Time,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Housework,Entertainment,Study,Study,Study,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Married,30000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Study,Study,Study,Study,Study,Eating,Eating,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
